img_fpath,ours_top_AVE_audio_fpath,w2c_top_AVE_audio_fpath,category,participant,ours_video_path,w2c_video_path,ours_rand_uid,w2c_rand_uid
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/1PaQmRw_VIs_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/6Hz2So8JxHE.wav,AVE_Filtered_NoSpeechMusic/audio/1iUXERALOOs.wav,Train horn,P1,final_sampled_400/ours/1PaQmRw_VIs_f5_ours.mp4,final_sampled_400/w2c_baseline/1PaQmRw_VIs_f5_W2C.mp4,07092631-9973-4320-bd1a-3c0e3ebd6531,2928f732-451b-4c3f-8885-95e5bceba4fa
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/-W9N8xqohLA_f7.jpg,AVE_Filtered_NoSpeechMusic/audio/0R4uO4Vy9c0.wav,AVE_Filtered_NoSpeechMusic/audio/4RhARbjonAQ.wav,Cat,P2,final_sampled_400/ours/-W9N8xqohLA_f7_ours.mp4,final_sampled_400/w2c_baseline/-W9N8xqohLA_f7_W2C.mp4,ec9a4806-dd2c-4b2f-ac73-7c791b669a2e,0bf777f0-eed2-4eeb-94e6-51e447be1c68
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/3Y5XYAlo4ME_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/-Mn3laA2KZc.wav,AVE_Filtered_NoSpeechMusic/audio/-IKMo9-20Zc.wav,"Race car, auto racing",P3,final_sampled_400/ours/3Y5XYAlo4ME_f5_ours.mp4,final_sampled_400/w2c_baseline/3Y5XYAlo4ME_f5_W2C.mp4,807e513f-66b4-4936-813d-857e68430035,ea84d1c9-3a6c-4a58-aa60-4ccc871a766f
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/1vFbsn6XfMI_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/15w5MOkhlZI.wav,AVE_Filtered_NoSpeechMusic/audio/-IKMo9-20Zc.wav,Bus,P4,final_sampled_400/ours/1vFbsn6XfMI_f5_ours.mp4,final_sampled_400/w2c_baseline/1vFbsn6XfMI_f5_W2C.mp4,71fc0cc2-f946-4f41-8344-fa58bb6b6373,100eb1a2-15a5-4d2d-b209-2bc8085e3688
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/2uOqzDrthyA_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/HEqn0tgCtDM.wav,AVE_Filtered_NoSpeechMusic/audio/QSgqjJ2iglM.wav,Clock,P5,final_sampled_400/ours/2uOqzDrthyA_f5_ours.mp4,final_sampled_400/w2c_baseline/2uOqzDrthyA_f5_W2C.mp4,5ffc3a15-954f-4a24-a0e7-418f5bd83e2a,5c272ce5-243d-4db6-b8ab-dfa12d05a4d3
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/66-n0kgMDfM_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/2Dv8SGM7W1A.wav,AVE_Filtered_NoSpeechMusic/audio/-DXUMMSmd-A.wav,Chainsaw,P6,final_sampled_400/ours/66-n0kgMDfM_f5_ours.mp4,final_sampled_400/w2c_baseline/66-n0kgMDfM_f5_W2C.mp4,c881af0e-e5e5-46e6-a7da-077bf9cd71b5,7c18b1cc-3b25-48de-aba7-59c2a896e073
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/706Lzd73Ib4_f6.jpg,AVE_Filtered_NoSpeechMusic/audio/2jAVRDkz42M.wav,AVE_Filtered_NoSpeechMusic/audio/QSgqjJ2iglM.wav,Toilet flush,P7,final_sampled_400/ours/706Lzd73Ib4_f6_ours.mp4,final_sampled_400/w2c_baseline/706Lzd73Ib4_f6_W2C.mp4,06dd02e3-c5fb-49c9-90e0-d55fd63d4d58,20b4bf3e-5962-405f-8273-4e3d4bee8d90
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/IN-9KCBYTqA_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/43IxB0Hz2RA.wav,AVE_Filtered_NoSpeechMusic/audio/33fbMHu4nzo.wav,"Fixed-wing aircraft, airplane",P8,final_sampled_400/ours/IN-9KCBYTqA_f5_ours.mp4,final_sampled_400/w2c_baseline/IN-9KCBYTqA_f5_W2C.mp4,16e3fcaf-cd29-4060-bb0b-eea7cea35483,6878a86a-2f56-4f7c-8322-04b51125d490
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/1Qdk6W5OaVo_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/43IxB0Hz2RA.wav,AVE_Filtered_NoSpeechMusic/audio/C3q2vSaKlHM.wav,"Fixed-wing aircraft, airplane",P9,final_sampled_400/ours/1Qdk6W5OaVo_f5_ours.mp4,final_sampled_400/w2c_baseline/1Qdk6W5OaVo_f5_W2C.mp4,970ae3b9-de99-4fbf-baaf-4347c21c9acd,c5068a84-503d-40ac-b6f1-87b1075d5710
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/1VKFZ5lT0mk_f5.jpg,AVE_Filtered_NoSpeechMusic/audio/1aJK75652Ns.wav,AVE_Filtered_NoSpeechMusic/audio/4RhARbjonAQ.wav,Goat,P10,final_sampled_400/ours/1VKFZ5lT0mk_f5_ours.mp4,final_sampled_400/w2c_baseline/1VKFZ5lT0mk_f5_W2C.mp4,5f179d18-d65a-498b-a4fe-ad6299ec81d2,350ef251-1485-40be-b0e9-d5a3136230c6
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/N4QGTrobCxs_f1.jpg,AVE_Filtered_NoSpeechMusic/audio/J-Igx1Ucy-Y.wav,AVE_Filtered_NoSpeechMusic/audio/36xzrUTlmKw.wav,Bark,P11,final_sampled_400/ours/N4QGTrobCxs_f1_ours.mp4,final_sampled_400/w2c_baseline/N4QGTrobCxs_f1_W2C.mp4,7976929e-c422-4ebe-8869-8033e91d6df7,9211ae68-3176-415f-a1a4-0dbb14ea8068
AVE_Filtered_NoSpeechMusic/center_frames_of_AV_event/6kgP5UmqtRs_f7.jpg,AVE_Filtered_NoSpeechMusic/audio/iHCnXCi1-Xg.wav,AVE_Filtered_NoSpeechMusic/audio/QSgqjJ2iglM.wav,Toilet flush,P12,final_sampled_400/ours/6kgP5UmqtRs_f7_ours.mp4,final_sampled_400/w2c_baseline/6kgP5UmqtRs_f7_W2C.mp4,3702e509-3c81-4363-88dd-e2040805ad26,05cf462f-6759-4186-af4c-2e2da0851668
