img_fpath,ours_top_PSE_audio_fpath,w2c_top_PSE_audio_fpath,category,participant,ours_rand_uid,w2c_rand_uid,ours_video_path,w2c_video_path
73888017_f6.png,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Complete - Exclusive/Communications/Camera/COMCam_Camera Shutter Motorized 35mm Shutters_PSE_OCX_Rjh17_0.wav,PSE_audio_dataset_split_filtered_JAN23_16k/King Collection - Vol. 1/Beeps/Timer/BEEPTimer_Electronic Pager Beeping Bursts_PSE_KCV1_1FH9R_0.wav,birds,P1,3cb5d713-8857-41e8-9689-204c100562af,83c691b6-b32a-41a0-bcb3-1fb889930892,final_sampled_400/ours/73888017_f6_ours.mp4,final_sampled_400/w2c_baseline/73888017_f6_W2C.mp4
183438045_f0.png,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Starter/Destruction/Misc/DESTRMisc_Vehicle Impact_PSE_OS_CdZUp_0.wav,PSE_audio_dataset_split_filtered_JAN23_16k/King Collection - Aircraft/Aircraft/AEROMil_F16 Thunderbird Jet Fly Over Maneuvers 04 ST1_PSE_KCAC_b6IpA_0.wav,glass,P2,d2129a7f-e20f-48aa-b3f4-b0e5381c1447,10b77dec-812f-4abd-b115-38976dd12d27,final_sampled_400/ours/183438045_f0_ours.mp4,final_sampled_400/w2c_baseline/183438045_f0_W2C.mp4
26109672_f29.png,PSE_audio_dataset_split_filtered_JAN23_16k/Doors/Sounds/DOORSwng_Swinging Service Door Open Squeak Subtle Spring_PSE_DRS_bM5sK_2.wav,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Complete - Exclusive/Bells/Doorbell/BELLDoor_Synth Chimes Single and Double Hits Ring 03_PSE_OCX_sgDvz_0.wav,clocks,P3,71ad6a62-1018-43d0-870e-1bcb743c6d38,48d1072d-9095-4529-bf90-9863b240b8f1,final_sampled_400/ours/26109672_f29_ours.mp4,final_sampled_400/w2c_baseline/26109672_f29_W2C.mp4
83852088_f3.png,PSE_audio_dataset_split_filtered_JAN23_16k/Sound Mountain Collection - Vol.1/Air/AIRBrst_Air Release Short Bursts Compressor_PSE_SMV1_J6W2z_0.wav,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Machines/Communications/Camera/COMCam_Camera Flash Recharge Ascending Sharp Pitch 01_PSE_OM_4Cmzc_2.wav,air,P4,4979a993-8e77-4778-9dfd-bfe60ece7269,bc8c03e7-83e2-4dbc-864e-7e65d6a7c1e6,final_sampled_400/ours/83852088_f3_ours.mp4,final_sampled_400/w2c_baseline/83852088_f3_W2C.mp4
186541585_f14.png,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Expanded/Motors/Electric/MOTRElec_Small Servo Tiny Motor Buzzy_PSE_OX_YVFIt_0.wav,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Complete - Exclusive/Bells/Doorbell/BELLDoor_Synth Chimes Single and Double Hits Ring 03_PSE_OCX_sgDvz_0.wav,beeps,P5,0b6b28c8-5937-42e9-ac22-604a8b85516b,c210b885-dd68-4280-a1be-9362e5b9e54d,final_sampled_400/ours/186541585_f14_ours.mp4,final_sampled_400/w2c_baseline/186541585_f14_W2C.mp4
178433335_f0.png,PSE_audio_dataset_split_filtered_JAN23_16k/Sonomar Collection - Abandoned - Prison/Doors/Prison/DOORPrisn_Abandoned Prison Cell Door Open Close 043 B_PSE_SONAP_MuIpy_14.wav,PSE_audio_dataset_split_filtered_JAN23_16k/Gen Collection - Vol. 1/Beeps/General/BEEP_Stinging Echoing Rattly Ringing Whine_PSE_GEN_nplMU_3.wav,foley,P6,bdbac4d3-888f-4863-b6f4-cc8bd914c30f,2eeec139-ffea-4862-92c4-435621000466,final_sampled_400/ours/178433335_f0_ours.mp4,final_sampled_400/w2c_baseline/178433335_f0_W2C.mp4
178362288_f20.png,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Expanded/Motors/Electric/MOTRElec_Small Servo Tiny Motor Buzzy_PSE_OX_YVFIt_0.wav,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Machines/Communications/Camera/COMCam_Camera Flash Recharge Ascending Sharp Pitch 01_PSE_OM_4Cmzc_2.wav,boats,P7,a5a4984c-c8b6-44a5-8988-81cce8b3d548,2ee64621-ecd8-4767-9c67-24c4c0dc6eaf,final_sampled_400/ours/178362288_f20_ours.mp4,final_sampled_400/w2c_baseline/178362288_f20_W2C.mp4
112839129_f6.png,PSE_audio_dataset_split_filtered_JAN23_16k/Anime/Lasers/LASRBeam_Dangerous Fluctuation TAPE_PSE_ANI_eVcDq_2.wav,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Complete - Exclusive/Bells/Handbell/BELLHand_Bell Single Ding Dull Clacks Hand Held Ringing 03_PSE_OCX_LmNkt_0.wav,lasers,P8,48be37d9-ba18-4e16-a12c-caf3471519a4,d8cbc385-df70-4935-81d0-cb38f5ff5e52,final_sampled_400/ours/112839129_f6_ours.mp4,final_sampled_400/w2c_baseline/112839129_f6_W2C.mp4
106748680_f0.png,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Expanded/Motors/Electric/MOTRElec_Small Servo Tiny Motor Buzzy_PSE_OX_YVFIt_0.wav,PSE_audio_dataset_split_filtered_JAN23_16k/King Collection - Aircraft/Aircraft/AEROMil_F16 Thunderbird Jet Fly Over Maneuvers 04 ST1_PSE_KCAC_b6IpA_0.wav,communications,P9,21417bb8-f589-4032-8850-59756e7c36d2,5d131517-0f8e-4faa-b9a4-0ac64cbd1e81,final_sampled_400/ours/106748680_f0_ours.mp4,final_sampled_400/w2c_baseline/106748680_f0_W2C.mp4
186356712_f0.png,PSE_audio_dataset_split_filtered_JAN23_16k/The Odyssey Collection - Expanded/Aircraft/Prop/AEROProp_Beechcraft Debonair Prop Plane Door Creak_PSE_OX_wWTIP_0.wav,PSE_audio_dataset_split_filtered_JAN23_16k/King Collection - Aircraft/Aircraft/AEROMil_F16 Thunderbird Jet Fly Over Maneuvers 04 ST1_PSE_KCAC_b6IpA_0.wav,foley,P10,eab270dc-99b9-4252-bf48-79db80af61eb,5f9623f0-a099-4b7f-892d-fe6f1aa85403,final_sampled_400/ours/186356712_f0_ours.mp4,final_sampled_400/w2c_baseline/186356712_f0_W2C.mp4
